 initial_phi	Omega_de
   0.847000E-18   0.306910+120
   0.848000E-18   0.306910+120
   0.849000E-18   0.306910+120
   0.850000E-18   0.306910+120
   0.851000E-18   0.306910+120
   0.852000E-18   0.306910+120
   0.853000E-18   0.306910+120
   0.854000E-18   0.306910+120
   0.855000E-18   0.306910+120
   0.856000E-18   0.306910+120
   0.857000E-18   0.306910+120
   0.858000E-18   0.306910+120
   0.859000E-18   0.306910+120
   0.860000E-18   0.306910+120
   0.861000E-18   0.306910+120
   0.862000E-18   0.306910+120
   0.863000E-18   0.306910+120
   0.864000E-18   0.306910+120
   0.865000E-18   0.306910+120
   0.866000E-18   0.306910+120
   0.867000E-18   0.306910+120
   0.868000E-18   0.306910+120
   0.869000E-18   0.306910+120
   0.870000E-18   0.306910+120
   0.871000E-18   0.306910+120
   0.872000E-18   0.306910+120
   0.873000E-18   0.306910+120
   0.874000E-18   0.306910+120
   0.875000E-18   0.306910+120
   0.876000E-18   0.306910+120
   0.877000E-18   0.306910+120
   0.878000E-18   0.306910+120
