#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   160   0.472616E+04  -0.452371E+02   0.207786E-03  -0.452371E+02   0.101679E+01  -0.983828E-06   0.207786E-03  -0.983828E-06   0.697305E-07
   161   0.475655E+04  -0.449940E+02   0.205973E-03  -0.449940E+02   0.100763E+01  -0.968092E-06   0.205973E-03  -0.968092E-06   0.693392E-07
   162   0.478665E+04  -0.447240E+02   0.204181E-03  -0.447240E+02   0.998173E+00  -0.952204E-06   0.204181E-03  -0.952204E-06   0.689512E-07
   163   0.481643E+04  -0.444267E+02   0.202408E-03  -0.444267E+02   0.988457E+00  -0.936186E-06   0.202408E-03  -0.936186E-06   0.685663E-07
   164   0.484588E+04  -0.441021E+02   0.200655E-03  -0.441021E+02   0.978481E+00  -0.920059E-06   0.200655E-03  -0.920059E-06   0.681846E-07
   165   0.487500E+04  -0.437499E+02   0.198922E-03  -0.437499E+02   0.968268E+00  -0.903845E-06   0.198922E-03  -0.903845E-06   0.678061E-07
   166   0.490377E+04  -0.433701E+02   0.197209E-03  -0.433701E+02   0.957841E+00  -0.887567E-06   0.197209E-03  -0.887567E-06   0.674307E-07
   167   0.493219E+04  -0.429625E+02   0.195514E-03  -0.429625E+02   0.947223E+00  -0.871245E-06   0.195514E-03  -0.871245E-06   0.670585E-07
   168   0.496025E+04  -0.425272E+02   0.193839E-03  -0.425272E+02   0.936438E+00  -0.854902E-06   0.193839E-03  -0.854902E-06   0.666893E-07
   169   0.498793E+04  -0.420641E+02   0.192183E-03  -0.420641E+02   0.925507E+00  -0.838560E-06   0.192183E-03  -0.838560E-06   0.663232E-07
   170   0.501524E+04  -0.415730E+02   0.190546E-03  -0.415730E+02   0.914448E+00  -0.822239E-06   0.190546E-03  -0.822239E-06   0.659602E-07
   171   0.504215E+04  -0.410540E+02   0.188927E-03  -0.410540E+02   0.903291E+00  -0.805963E-06   0.188927E-03  -0.805963E-06   0.656002E-07
   172   0.506868E+04  -0.405069E+02   0.187327E-03  -0.405069E+02   0.892058E+00  -0.789753E-06   0.187327E-03  -0.789753E-06   0.652432E-07
   173   0.509479E+04  -0.399318E+02   0.185745E-03  -0.399318E+02   0.880774E+00  -0.773630E-06   0.185745E-03  -0.773630E-06   0.648891E-07
   174   0.512049E+04  -0.393287E+02   0.184182E-03  -0.393287E+02   0.869460E+00  -0.757617E-06   0.184182E-03  -0.757617E-06   0.645381E-07
   175   0.514577E+04  -0.386976E+02   0.182636E-03  -0.386976E+02   0.858155E+00  -0.741736E-06   0.182636E-03  -0.741736E-06   0.641900E-07
   176   0.517062E+04  -0.380386E+02   0.181108E-03  -0.380386E+02   0.846876E+00  -0.726003E-06   0.181108E-03  -0.726003E-06   0.638447E-07
